Key	Item Type	Publication Year	Author	Title	DOI	Publication Title	ISBN	ISSN		Url	Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Series	Publisher	Place	Language	Rights	Library Catalog	Extra	File Attachments	Manual Tags	Automatic Tags	Series Editor
ECM5BK6B	journalArticle	2017	Pan, Xuming; Shi, Zihan; Wang, Chundi; Bourland, William A; Chen, Ying; Song, Weibo	Molecular phylogeny and taxonomy of a new freshwater hymenostomatid from northeastern China, with the establishment of a new genus Anteglaucoma gen. N. (protista, Ciliophora, oligohymenophorea)	10.1111/jeu.12382	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12382	2017-09	564-572		5	64								Publisher: Wiley				
7CDVE265	book	2009		Monograph of the Amphisiellidae and Trachelostylidae (Ciliophora, Hypotricha)			978-1-4020-8916-9 978-1-4020-8917-6			http://link.springer.com/10.1007/978-1-4020-8917-6	2009				88			Springer Netherlands	Dordrecht	en	http://www.springer.com/tdm	DOI.org (Crossref)	DOI: 10.1007/978-1-4020-8917-6			ecology; Guide; protozoa; Stichotricha; systematics	
JIKJ6Q4P	book	1999	Berger, Helmut	Monograph of the Oxytrichidae (Ciliophora, Hypotrichia)			978-94-010-5958-9 978-94-011-4637-1			http://link.springer.com/10.1007/978-94-011-4637-1	1999				78		Monographiae Biologicae	Springer Netherlands	Dordrecht	en	http://www.springer.com/tdm	DOI.org (Crossref)	DOI: 10.1007/978-94-011-4637-1	/home/lentendug/Zotero/storage/8D65EHIW/Berger - 1999 - Monograph of the Oxytrichidae (Ciliophora, Hypotrichia).pdf		ecology; soil; phylogeny; classification; morphology; Biological Microscopy; biology	Dumont, H. J.; Werger, M. J. A.
WS3Z6E6X	book	2006		Monograph of the Urostyloidea (Ciliophora, Hypotricha)			978-1-4020-5272-9			http://link.springer.com/10.1007/1-4020-5273-1	2006				85		Monographiae Biologicae	Springer Netherlands	Dordrecht	en	http://www.springer.com/tdm	DOI.org (Crossref)	DOI: 10.1007/1-4020-5273-1			Ciliophora; classification; ecology; Guide; Model invertebrates; morphology; phylogeny; Protozoa; Stichotricha; Systematics	
92NTDA4M	journalArticle	2013	Lv, Zhao; Chen, Lan; Chen, Lingyun; Shao, Chen; Miao, Miao; Warren, Alan	Morphogenesis and molecular phylogeny of a new freshwater ciliate, Notohymena apoaustralis n. sp. (Ciliophora, Oxytrichidae)	10.1111/jeu.12053	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12053	2013-09	455-466		5	60								Publisher: Wiley		Limnetic; morphospecies; ontogenesis; Sporadotrichida		
KVFGIN9Q	journalArticle	2017	Wang, Jingyi; Li, Lifang; Warren, Alan; Shao, Chen	Morphogenesis and molecular phylogeny of the soil ciliate Rigidohymena quadrinucleata (Dragesco and Njine, 1971) Berger, 2011 (Ciliophora, Hypotricha, Oxytrichidae)	10.1016/j.ejop.2017.04.006	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2017.04.006	2017-08	1-12			60								Publisher: Elsevier BV		Molecular phylogeny; Morphogenesis; Ciliate; Hypotricha; Oxytrichidae; Rigidohymena quadrinucleata		
F4EVH3BR	journalArticle	2017	Bourland, William; Rotterová, Johana; Čepička, Ivan	Morphologic and molecular characterization of seven species of the remarkably diverse and widely distributed metopid genus Urostomides Jankowski, 1964 (Armophorea, Ciliophora)	10.1016/j.ejop.2017.07.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2017.07.003	2017-10	194-232			61								Publisher: Elsevier BV				
7N8FKXDH	journalArticle	2014	Bourland, William A; Wendell, Laura; Hampikian, Greg	Morphologic and molecular description of Metopus fuscus Kahl from North America and new rDNA sequences from seven metopids (Armophorea, Metopidae)	10.1016/j.ejop.2014.01.002	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2014.01.002	2014-06	213-230		3	50								Publisher: Elsevier BV		Armophorida; Brachonella; Anaerobic ciliates; Cortical granules; Morphospecies; Silver impregnation		
JA5UV4F9	journalArticle	2020	Li, Ming; Hu, Guangran; Li, Can; Zhao, Wei-Shan; Zou, Hong; Li, Wen-Xiang; Wu, Shan-Gong; Wang, Gui-Tang; Ponce-Gordo, Francisco	Morphological and molecular characterization of a new ciliate Nyctotheroides grimi n. sp. (Armophorea, Clevelandellida) from Chinese frogs	10.1016/j.actatropica.2020.105531	Acta Trop.		0001-706X		http://dx.doi.org/10.1016/j.actatropica.2020.105531	2020-08	105531		105531	208								Publisher: Elsevier BV		Scanning electron microscopy; SSU rRNA gene; Phylogenetic analysis; ITS region; Nyctotheroides grimi n. sp.; Optical microscopy		
FPJWRYQ3	journalArticle	2009	Foissner, Wilhelm; Stoeck, Thorsten	Morphological and molecular characterization of a new protist family, Sandmanniellidae n. fam. (Ciliophora, Colpodea), with description of Sandmanniella terricola n. g., n. sp. from the Chobe floodplain in Botswana	10.1111/j.1550-7408.2009.00429.x	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/j.1550-7408.2009.00429.x	2009-09	472-483		5	56								Publisher: Wiley				
S6FNCGXH	journalArticle	2014	Fan, Xinpeng; Ma, Rui; Al-Farraj, Saleh A; Gu, Fukang	Morphological and molecular characterization of Parafurgasonia zhangi spec. nov. and Chilodonella acuta Kahl, 1931 (Protozoa, Ciliophora), from a soil habitat of Saudi Arabia	10.1099/ijs.0.062026-0	Int. J. Syst. Evol. Microbiol.		1466-5026		http://dx.doi.org/10.1099/ijs.0.062026-0	2014-07	2385-2394		Pt 7	64								Publisher: Microbiology Society				
TE7T8YNE	journalArticle	2015	Qu, Zhishuai; Pan, Hongbo; Al-Rasheid, Khaled A S; Hu, Xiaozhong; Gao, Shan	Morphological and phylogenetic studies on three members of the genus Pseudochilodonopsis (Ciliophora, Cyrtophoria) isolated from brackish waters in China, including a novel species, Pseudochilodonopsis quadrivacuolata sp. nov	10.1099/ijsem.0.000580	Int. J. Syst. Evol. Microbiol.		1466-5026		http://dx.doi.org/10.1099/ijsem.0.000580	2015-12	4323-4334		12	65								Publisher: Microbiology Society				
L2VJ7WEP	journalArticle	2016	Chen, Xiangrui; Shazib, Shahed Uddin Ahmed; Kim, Ji Hye; Jang, Seok Won; Shin, Mann Kyoon	Morphological Description and Molecular Phylogeny of Two Species of Levicoleps (Ciliophora, Prostomatida), L. taehwae nov. spec. and L. biwae jejuensis nov. subspec., collected in Korea	10.1111/jeu.12291	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12291	2016-07	471-480		4	63								Publisher: Wiley				
IKD577QI	journalArticle	1981	FOISSNER, W; H, ADAM	MORPHOLOGIE UND INFRACILIATUR VON PARAFURGASONIA SOREX (PENARD, 1922) NOV. GEN. UND OBERTRUMIA GEORGIANA (DRAGESCO, 1972) NOV. GEN. (PROTOZOA: CILIOPHORA)							1981													/home/lentendug/Zotero/storage/8WZVM9M7/index.html			
PSX86G9N	journalArticle	2013	Fernandes, Noemi Mendes; Dias, Roberto Júnio Pedroso; Senra, Marcus Vinicius Xavier; Soares, Carlos Augusto Gomes; da Silva Neto, Inácio Domingos	Morphology and 18S rDNA gene sequence of Blepharisma sinuosum Sawaya, 1940 (Ciliophora: Heterotrichea) from Brazil	10.1016/j.ejop.2013.04.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2013.04.003	2013-11	623-633		4	49								Publisher: Elsevier BV		Ciliophora; Brazil; 18S rDNA; Morphology; Blepharisma; Macronucleus		
KYG9JI9F	journalArticle	2006	Gupta, Renu; Kamra, Komal; Sapra, G R	Morphology and cell division of the oxytrichids Architricha indica nov. gen., nov. sp., and Histriculus histrio (Müller, 1773), Corliss, 1960 (Ciliophora, Hypotrichida)	10.1016/j.ejop.2005.09.004	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2005.09.004	2006-03	29-48		1	42								Publisher: Elsevier BV				
VCBSJX5K	journalArticle	2008	Foissner, Wilhelm; Kusuoka, Yasushi; Shimano, Satoshi	Morphology and gene sequence of Levicoleps biwae n. gen., n. sp. (Ciliophora, Prostomatida), a proposed endemic from the ancient Lake Biwa, Japan	10.1111/j.1550-7408.2008.00323.x	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/j.1550-7408.2008.00323.x	2008-05	185-200		3	55								Publisher: Wiley				
LX6DZXFF	journalArticle	1988	Foissner, Wilhelm; Skogstad, Asbjørn; Pratt, James R	Morphology and Infraciliature of Trochiliopsis australis N. Sp., Pelagohalteria viridis (Fromentel, 1876) N. G., N. Comb., and Strobilidium lacustris N. Sp. (Protozoa, Ciliophora)1	10.1111/j.1550-7408.1988.tb04135.x	J. Protozool.		0022-3921		http://dx.doi.org/10.1111/j.1550-7408.1988.tb04135.x	1988-11	489-497		4	35								Publisher: Wiley				
8AETUE8X	journalArticle	2012	Chen, Xiangrui; Hu, Xiaozhong; Gong, Jun; Al-Rasheid, Khaled A S; Al-Farraj, Saleh A; Song, Weibo	Morphology and infraciliature of two new marine ciliates, Paracyrtophoron tropicum nov. gen., nov. spec. and Aegyria rostellum nov. spec. (Ciliophora, Cyrtophorida), isolated from tropical waters in southern China	10.1016/j.ejop.2011.07.005	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2011.07.005	2012-01	63-72		1	48								Publisher: Elsevier BV				
Y72IBEU8	journalArticle	2017	Qu, Zhishuai; Ma, Honggang; Al-Farraj, Saleh A; Lin, Xiaofeng; Hu, Xiaozhong	Morphology and molecular phylogeny of Aegyria foissneri sp. n. and Lynchella minuta sp. n. (Ciliophora, Cyrtophoria) from brackish waters of southern China	10.1016/j.ejop.2016.10.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2016.10.003	2017-02	50-60			57								Publisher: Elsevier BV		SSU rDNA; Morphology; Aegyria; Cyrtophorians; Lynchella		
